,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
340,1662599778.0300105,DOWN,1,0,-136,-20,0,0,0,82
341,1662599778.1116219,DOWN,1,0,-136,-20,0,0,0,82
342,1662599778.1484828,DOWN,1,0,-136,-20,0,0,0,82
343,1662599778.4649036,DOWN,1,0,-136,-20,0,0,-1,82
344,1662599778.5889206,DOWN,1,0,-136,-20,0,0,-1,82
345,1662599778.6743221,DOWN,1,0,-136,-30,0,0,-1,82
346,1662599778.8481276,DOWN,1,0,-136,-30,0,0,-1,82
347,1662599778.9000611,stand,1,0,-136,-30,0,0,0,82
348,1662599779.1975873,stand,1,0,-136,-30,0,0,0,82
349,1662599779.2624774,stand,1,0,-136,-30,0,0,0,82
350,1662599779.3308055,stand,1,0,-136,-30,0,0,0,82
351,1662599779.3987517,stand,1,0,-136,-30,0,0,0,82
352,1662599779.502451,stand,1,0,-136,-30,0,0,0,82
353,1662599779.6100976,stand,1,0,-136,-30,0,0,0,82
354,1662599779.699609,stand,1,0,-136,-30,0,0,0,82
355,1662599779.774587,stand,1,0,-136,-30,0,0,0,82
356,1662599779.8723998,stand,1,0,-136,-30,0,0,0,82
357,1662599779.9264681,stand,1,0,-136,-30,0,0,0,82
358,1662599780.1316767,stand,1,0,-136,-30,0,0,0,82
359,1662599780.185124,stand,1,0,-136,-30,0,0,0,82
360,1662599780.3629289,stand,1,0,-135,-30,0,0,0,82
361,1662599780.4174826,stand,1,0,-135,-30,0,0,0,82
362,1662599780.4799416,stand,1,0,-135,-30,0,0,0,82
363,1662599780.5111592,stand,1,0,-136,-30,0,0,0,82
364,1662599780.5886426,stand,1,0,-136,-30,0,0,0,82
365,1662599780.7120872,stand,1,0,-136,-30,0,0,0,82
366,1662599780.7750936,stand,1,0,-136,-30,0,0,0,82
367,1662599780.8656259,stand,1,0,-136,-30,0,0,0,82
368,1662599780.960447,stand,1,0,-136,-30,0,0,0,82
369,1662599781.106097,stand,1,0,-136,-30,0,0,0,82
370,1662599781.1629705,stand,1,0,-136,-30,0,0,0,82
371,1662599781.2975142,stand,1,0,-136,-30,0,0,0,82
372,1662599781.3784904,stand,1,0,-136,-30,0,0,0,82
373,1662599781.4673722,stand,0,0,-136,-30,0,0,0,82
374,1662599781.5346382,stand,0,0,-136,-30,0,0,0,82
375,1662599781.6064117,stand,0,0,-136,-30,0,0,0,82
376,1662599781.7023475,stand,0,0,-136,-30,0,0,0,82
377,1662599781.8659894,stand,0,0,-136,-30,0,0,0,82
378,1662599781.944757,stand,0,0,-136,-30,0,0,0,82
379,1662599782.0036347,stand,1,0,-136,-30,0,0,0,82
380,1662599782.0659795,stand,1,0,-136,-30,0,0,0,82
381,1662599782.1444688,stand,1,0,-136,-30,0,0,0,82
382,1662599782.2497694,stand,1,0,-136,-30,0,0,0,82
383,1662599782.3769014,stand,1,0,-136,-30,0,0,0,82
384,1662599782.5303638,stand,1,0,-136,-30,0,0,0,82
385,1662599785.281915,land,0,0,-137,0,-1,0,0,81
386,1662599785.3638601,stand,1,0,-137,0,0,0,0,81
387,1662599785.4936736,stand,1,0,-137,0,0,0,0,81
388,1662599785.5697205,stand,1,0,-137,0,0,0,0,81
389,1662599785.6549768,stand,1,0,-137,0,0,0,0,81
390,1662599785.7356641,stand,1,0,-137,0,0,0,0,81
391,1662599785.8361073,stand,1,0,-137,0,-1,0,0,81
392,1662599786.096107,stand,1,0,-137,0,-1,0,0,81
393,1662599786.1594357,stand,1,0,-137,0,-1,0,0,81
394,1662599786.2694156,stand,1,0,-137,0,-1,-1,0,81
395,1662599786.3929636,stand,1,0,-137,0,-1,-1,0,81
396,1662599786.4306042,stand,1,0,-137,0,-1,-1,0,81
397,1662599786.575823,stand,1,0,-137,0,0,0,0,81
398,1662599786.6758235,stand,1,0,-137,0,0,0,0,81
399,1662599786.7610416,stand,1,0,-137,0,0,0,0,81
400,1662599786.8412514,stand,1,0,-137,0,0,0,0,81
401,1662599787.0263011,stand,1,0,-137,0,0,0,0,81
402,1662599787.0977192,stand,1,0,-137,0,0,0,0,81
403,1662599787.1474147,stand,1,0,-137,0,0,0,0,81
